Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Hypericum canadense,Irish St John's-wort,12/08/2005,2005,M07,M0372,M0310772069,"Croaghrimbeg, Co. Mayo",Near Croaghrimbeg,Miscellaneous NPWS Records,DSS00520000007HD,
Hypericum canadense,Irish St John's-wort,12/08/2005,2005,M07,M0371,M035716,"Croaghrimbeg, Co. Mayo",Croaghrimbeg,Miscellaneous NPWS Records,DSS00520000007HG,
Hypericum canadense,Irish St John's-wort,12/08/2005,2005,M07,M0470,M0483370792,"Gleannagashleeny, Co. Mayo",Gleannagashleeny,Miscellaneous NPWS Records,DSS00520000007HH,
Hypericum canadense,Irish St John's-wort,22/08/2005,2005,M07,M0470,M043707,"Gleannagashleeny, Co. Mayo",Gleannagashleeny,Miscellaneous NPWS Records,DSS00520000007HI,
Hypericum canadense,Irish St John's-wort,12/08/2005,2005,M07,M0670,M0611170146,"Partry Mountains, Co. Mayo",Partry Mountains.,Miscellaneous NPWS Records,DSS00520000007HJ,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0791569155,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HL,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0783269136,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HM,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0775869089,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HN,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0751369048,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HO,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0748269154,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HP,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0736769354,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HR,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0733569490,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HS,
